plt_name,prefix,rev
FGT_80F_BP,FG80FB,Gen2
FGT_80F_BP,FG80FB,Gen1
FFW_3980E_DC,FFD398,Gen1
FGR_60F_3G4G,FR60FI,Gen1
FGR_60F_3G4G,FR60FI,Gen2
FGT_2601F,FG261F,Gen1
FGT_201F,FG201F,Gen1
FGT_4200F,FG420F,Gen1
FGT_4401F,FG441F,Gen1
FGT_400E_BP,FG4HBE,Gen1
FWF_81F_2R,FWF81F,Gen1
FGT_3501F,FG35F,Gen1
